date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:24	0/0	---M--	200	added ('OK')	text/plain	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://iwued.com/robots.txt		(from )
13:56:24	31879/31879	---MCZ	200	added ('OK')	text/html	etag:W/%2267e811c56a187d8d6f4d907f2118c540%22	https://iwued.com/	C:/My%20Web%20Sites/applewebsite/iwued.com/index.html	(from )
13:56:25	220780/220780	---MCZ	200	added ('OK')	text/css	etag:W/%2235e6c-cZlWqlLbTIr9xcDPs8verWJYuKY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/applewebsite/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	(from https://iwued.com/)
13:56:25	98255/98255	---MCZ	200	added ('OK')	text/css	etag:W/%2217fcf-G+wTgIPTsn/2h6nUG4C3l88gtwk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/applewebsite/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	(from https://iwued.com/)
13:56:25	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/applewebsite/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://iwued.com/)
13:56:26	70956/70956	---MCZ	200	added ('OK')	text/css	etag:W/%225c37b6f1bf6006415d6cefd0511bc9c4%22	https://iwued.com/Base.css	C:/My%20Web%20Sites/applewebsite/iwued.com/Base.css	(from https://iwued.com/)
13:56:26	741/741	---M--	200	added ('OK')	image/png	etag:%22a53ea0199e586dc543e3e37f3a096f37%22	https://iwued.com/globalnav/apple/us.png	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/apple/us.png	(from https://iwued.com/)
13:56:27	20095/20095	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e7f-YDO5/9GsCmSrp3VxzVXmgduuK5k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.6/dist/umd/popper.min.js	C:/My%20Web%20Sites/applewebsite/cdn.jsdelivr.net/npm/@popperjs/core@2.11.6/dist/umd/popper.min.js	(from https://iwued.com/)
13:56:27	60554/60554	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ec8a-z/PmJCRGsgLcOzQ/ORPiUuHO4kQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/applewebsite/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.min.js	(from https://iwued.com/)
13:56:27	257217/257217	---M--	200	added ('OK')	image/jpeg	etag:%22a692f9bc4ec39007b6dab00a2d872547%22	https://iwued.com/apple222.jpg	C:/My%20Web%20Sites/applewebsite/iwued.com/apple222.jpg	(from https://iwued.com/)
13:56:27	371/371	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:26%20GMT	https://iwued.com/code.jquery.com/jquery-1.12.0.min.js	C:/My%20Web%20Sites/applewebsite/iwued.com/code.jquery.com/jquery-1.12.0.min.js	(from https://iwued.com/)
